[DEBUG] 2021-12-15 16:46:16.927 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-12-15 16:46:16.935 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-12-15 16:46:16.938 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-12-15 16:46:17.017 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-12-15 16:46:17.021 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-12-15 16:46:17.208 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-12-15 16:46:17.212 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-12-15 16:46:17.218 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-12-15 16:46:17.522 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-12-15 16:46:17.543 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-12-15 16:46:17.543 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[DEBUG] 2021-12-15 16:46:17.624 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@42714a7
[DEBUG] 2021-12-15 16:46:17.624 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@42714a7
[DEBUG] 2021-12-15 16:46:17.624 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@42714a7
[DEBUG] 2021-12-15 16:46:17.624 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@59d77850
[DEBUG] 2021-12-15 16:46:17.624 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@59d77850
[DEBUG] 2021-12-15 16:46:17.624 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@59d77850
[DEBUG] 2021-12-15 16:46:17.625 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@6c6366cf
[DEBUG] 2021-12-15 16:46:17.625 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@6c6366cf
[DEBUG] 2021-12-15 16:46:17.626 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@481e91b6
[DEBUG] 2021-12-15 16:46:17.626 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@481e91b6
[DEBUG] 2021-12-15 16:46:17.628 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@383864d5
[DEBUG] 2021-12-15 16:46:17.628 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@383864d5
[DEBUG] 2021-12-15 16:46:17.629 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@3a543f31
[DEBUG] 2021-12-15 16:46:17.629 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@7efe7b87
[DEBUG] 2021-12-15 16:46:17.629 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@55259aa7
[DEBUG] 2021-12-15 16:46:17.629 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@55259aa7
[DEBUG] 2021-12-15 16:46:17.630 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@36061cf3
[DEBUG] 2021-12-15 16:46:17.630 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@36061cf3
[DEBUG] 2021-12-15 16:46:17.636 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@64469d8
[DEBUG] 2021-12-15 16:46:17.637 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@64469d8
[DEBUG] 2021-12-15 16:46:17.637 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@43e1692f
[DEBUG] 2021-12-15 16:46:17.637 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@43e1692f
[DEBUG] 2021-12-15 16:46:17.638 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@66213a0d
[DEBUG] 2021-12-15 16:46:17.638 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@66213a0d
[DEBUG] 2021-12-15 16:46:17.641 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@49206065
[DEBUG] 2021-12-15 16:46:17.641 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@49206065
[DEBUG] 2021-12-15 16:46:17.642 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@407873d3
[DEBUG] 2021-12-15 16:46:17.642 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@407873d3
[DEBUG] 2021-12-15 16:46:17.642 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@49fe3142
[DEBUG] 2021-12-15 16:46:17.644 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@49fe3142
[DEBUG] 2021-12-15 16:46:17.645 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@4d62f4c6
[DEBUG] 2021-12-15 16:46:17.647 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@4d62f4c6
[DEBUG] 2021-12-15 16:46:17.648 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@2042ccce
[DEBUG] 2021-12-15 16:46:17.648 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@2042ccce
[DEBUG] 2021-12-15 16:46:17.648 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@2af46afd
[DEBUG] 2021-12-15 16:46:17.648 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@2af46afd
[DEBUG] 2021-12-15 16:46:17.649 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@73d3e555
[DEBUG] 2021-12-15 16:46:17.650 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@73d3e555
[DEBUG] 2021-12-15 16:46:17.650 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@73d3e555
[DEBUG] 2021-12-15 16:46:17.651 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@74d3b638
[DEBUG] 2021-12-15 16:46:17.651 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@72825400
[DEBUG] 2021-12-15 16:46:17.651 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@72825400
[DEBUG] 2021-12-15 16:46:17.654 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@72825400
[DEBUG] 2021-12-15 16:46:17.655 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@1866da85
[DEBUG] 2021-12-15 16:46:17.655 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@1f3165e7
[DEBUG] 2021-12-15 16:46:17.656 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@1f3165e7
[DEBUG] 2021-12-15 16:46:17.657 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@45c2e0a6
[DEBUG] 2021-12-15 16:46:17.657 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@45c2e0a6
[DEBUG] 2021-12-15 16:46:17.657 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@a0f53fc
[DEBUG] 2021-12-15 16:46:17.661 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@a0f53fc
[DEBUG] 2021-12-15 16:46:17.662 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@3727f0ee
[DEBUG] 2021-12-15 16:46:17.662 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@3727f0ee
[DEBUG] 2021-12-15 16:46:17.662 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@26221bad
[DEBUG] 2021-12-15 16:46:17.662 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@26221bad
[DEBUG] 2021-12-15 16:46:17.662 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@6c6333cd
[DEBUG] 2021-12-15 16:46:17.663 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@278667fd
[DEBUG] 2021-12-15 16:46:17.665 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@278667fd
[DEBUG] 2021-12-15 16:46:17.665 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@278667fd
[DEBUG] 2021-12-15 16:46:17.665 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@1000d54d
[DEBUG] 2021-12-15 16:46:17.666 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@1000d54d
[DEBUG] 2021-12-15 16:46:17.666 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@1000d54d
[DEBUG] 2021-12-15 16:46:17.666 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@7636823f
[DEBUG] 2021-12-15 16:46:17.666 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@7fd26ad8
[DEBUG] 2021-12-15 16:46:17.667 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@54cf7c6a
[DEBUG] 2021-12-15 16:46:17.667 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@54cf7c6a
[DEBUG] 2021-12-15 16:46:17.667 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@54cf7c6a
[DEBUG] 2021-12-15 16:46:17.668 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@73010765
[DEBUG] 2021-12-15 16:46:17.668 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@73010765
[DEBUG] 2021-12-15 16:46:17.670 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@73010765
[DEBUG] 2021-12-15 16:46:17.670 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@459b187a
[DEBUG] 2021-12-15 16:46:17.671 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@7eae3764
[DEBUG] 2021-12-15 16:46:17.671 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@6884f0d9
[DEBUG] 2021-12-15 16:46:17.671 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@6884f0d9
[DEBUG] 2021-12-15 16:46:17.673 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@103082dd
[DEBUG] 2021-12-15 16:46:17.674 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@36bf84e
[DEBUG] 2021-12-15 16:46:17.674 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@36bf84e
[DEBUG] 2021-12-15 16:46:17.674 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@2016f509
[DEBUG] 2021-12-15 16:46:17.674 [main] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@2016f509
[DEBUG] 2021-12-15 16:46:17.675 [main] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@6a0094c9
[DEBUG] 2021-12-15 16:46:17.675 [main] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@4f6b687e
[DEBUG] 2021-12-15 16:46:17.680 [main] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@71945bc0
[DEBUG] 2021-12-15 16:46:17.681 [main] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@2e6f610d
[DEBUG] 2021-12-15 16:46:17.681 [main] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@2e6f610d
[DEBUG] 2021-12-15 16:46:17.681 [main] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@212dfd39
[DEBUG] 2021-12-15 16:46:17.681 [main] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@a2ddf26
[DEBUG] 2021-12-15 16:46:17.681 [main] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@65d57e4e
[DEBUG] 2021-12-15 16:46:17.681 [main] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@6daf7d37
[DEBUG] 2021-12-15 16:46:17.681 [main] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@23a5818e
[DEBUG] 2021-12-15 16:46:17.682 [main] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@4715ae33
[DEBUG] 2021-12-15 16:46:17.682 [main] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@9fc9f91
[DEBUG] 2021-12-15 16:46:17.682 [main] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@1fac1d5c
[DEBUG] 2021-12-15 16:46:17.710 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
[DEBUG] 2021-12-15 16:46:17.714 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
[DEBUG] 2021-12-15 16:46:17.715 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2021-12-15 16:46:17.716 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2021-12-15 16:46:17.717 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
[DEBUG] 2021-12-15 16:46:17.718 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
[DEBUG] 2021-12-15 16:46:17.719 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
[DEBUG] 2021-12-15 16:46:17.721 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2021-12-15 16:46:17.721 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
[DEBUG] 2021-12-15 16:46:17.721 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
[DEBUG] 2021-12-15 16:46:17.722 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
[DEBUG] 2021-12-15 16:46:17.722 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
[DEBUG] 2021-12-15 16:46:17.725 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2021-12-15 16:46:17.726 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
[INFO ] 2021-12-15 16:46:17.738 [main] C3P0ConnectionProvider - HHH010002: C3P0 using driver: com.mysql.cj.jdbc.Driver at URL: jdbc:mysql://localhost:3306/xstitch_test
[INFO ] 2021-12-15 16:46:17.738 [main] C3P0ConnectionProvider - HHH10001001: Connection properties: {password=****, user=root}
[INFO ] 2021-12-15 16:46:17.738 [main] C3P0ConnectionProvider - HHH10001003: Autocommit mode: false
[INFO ] 2021-12-15 16:46:17.884 [main] C3P0ConnectionProvider - HHH10001007: JDBC isolation level: <unknown>
[DEBUG] 2021-12-15 16:46:18.032 [main] JdbcEnvironmentInitiator - Database ->
       name : MySQL
    version : 8.0.26
      major : 8
      minor : 0
[DEBUG] 2021-12-15 16:46:18.033 [main] JdbcEnvironmentInitiator - Driver ->
       name : MySQL Connector/J
    version : mysql-connector-java-8.0.26 (Revision: 9aae1e450989d62c06616c1dcda3e404ef84df70)
      major : 8
      minor : 0
[DEBUG] 2021-12-15 16:46:18.033 [main] JdbcEnvironmentInitiator - JDBC version : 4.2
[INFO ] 2021-12-15 16:46:18.078 [main] Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
[DEBUG] 2021-12-15 16:46:18.097 [main] IdentifierHelperBuilder - JDBC driver metadata reported database stores quoted identifiers in more than one case
[DEBUG] 2021-12-15 16:46:18.129 [main] IdentifierHelperBuilder - IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [MIXED]; that will likely lead to problems in schema update and validation if using quoted identifiers
[DEBUG] 2021-12-15 16:46:18.178 [main] Namespace - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
[DEBUG] 2021-12-15 16:46:18.180 [main] TypeConfiguration$Scope - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@1a3e8e24] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@4ed4a7e4]
[DEBUG] 2021-12-15 16:46:18.224 [main] AnnotationBinder - Binding entity from annotated class: com.stitchable.entity.Designer
[DEBUG] 2021-12-15 16:46:18.245 [main] Ejb3Column - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
[DEBUG] 2021-12-15 16:46:18.252 [main] EntityBinder - Import with entity name Designer
[DEBUG] 2021-12-15 16:46:18.254 [main] EntityBinder - Bind entity com.stitchable.entity.Designer on table designer
[DEBUG] 2021-12-15 16:46:18.287 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(designer), mappingColumn=id, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-12-15 16:46:18.288 [main] PropertyBinder - MetadataSourceProcessor property id with lazy=false
[DEBUG] 2021-12-15 16:46:18.289 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.stitchable.entity.Designer:id]
[DEBUG] 2021-12-15 16:46:18.290 [main] SimpleValueBinder - building SimpleValue for id
[DEBUG] 2021-12-15 16:46:18.296 [main] PropertyBinder - Building property id
[DEBUG] 2021-12-15 16:46:18.298 [main] BinderHelper - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(id)]), id, org.hibernate.id.enhanced.SequenceStyleGenerator, native, ...)
[DEBUG] 2021-12-15 16:46:18.303 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(designer), mappingColumn=etsy_store, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-12-15 16:46:18.303 [main] PropertyBinder - MetadataSourceProcessor property etsyId with lazy=false
[DEBUG] 2021-12-15 16:46:18.303 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.stitchable.entity.Designer:etsyId]
[DEBUG] 2021-12-15 16:46:18.304 [main] SimpleValueBinder - building SimpleValue for etsyId
[DEBUG] 2021-12-15 16:46:18.304 [main] PropertyBinder - Building property etsyId
[DEBUG] 2021-12-15 16:46:18.304 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(designer), mappingColumn=logo, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-12-15 16:46:18.304 [main] PropertyBinder - MetadataSourceProcessor property logo with lazy=false
[DEBUG] 2021-12-15 16:46:18.304 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.stitchable.entity.Designer:logo]
[DEBUG] 2021-12-15 16:46:18.304 [main] SimpleValueBinder - building SimpleValue for logo
[DEBUG] 2021-12-15 16:46:18.304 [main] PropertyBinder - Building property logo
[DEBUG] 2021-12-15 16:46:18.304 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(designer), mappingColumn=name, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-12-15 16:46:18.305 [main] PropertyBinder - MetadataSourceProcessor property name with lazy=false
[DEBUG] 2021-12-15 16:46:18.305 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.stitchable.entity.Designer:name]
[DEBUG] 2021-12-15 16:46:18.305 [main] SimpleValueBinder - building SimpleValue for name
[DEBUG] 2021-12-15 16:46:18.305 [main] PropertyBinder - Building property name
[DEBUG] 2021-12-15 16:46:18.306 [main] Ejb3Column - Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='designer'}
[DEBUG] 2021-12-15 16:46:18.307 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(designer), mappingColumn=patterns, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-12-15 16:46:18.308 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(designer), mappingColumn=null, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-12-15 16:46:18.320 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(designer), mappingColumn=element, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-12-15 16:46:18.320 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(designer), mappingColumn=patterns_KEY, insertable=true, updatable=true, unique=false}
